Nom;Alias;IATA;OACI;Pays
Sun Air Aviation Services;\N;;SNX;Canada
Stabo Freight;\N;;SOB;Zambia
Southern Cargo Air Lines;\N;;SOC;Russia
Southern Ohio Aviation Sales;\N;;SOH;United States
Southern Aviation;\N;;SOI;Zambia
Solomon Airlines;\N;IE;SOL;Solomon Islands
Somali Airlines;\N;;SOM;Somali Republic
Sunshine Air Tours;\N;;SON;United States
Southern Air;\N;;SOO;United States
Solinair;\N;;SOP;Slovenia
Sonair Servico Aereo;\N;;SOR;Angola
Southeast Correct Craft;\N;;SOT;United States
Southern Airways;\N;;SOU;United States
Saratov Aviation Division;\N;6W;SOV;Russia
Sowind Air;\N;;SOW;Canada
Solid Air;\N;;SOX;Netherland
Sat Airlines;\N;HZ;SOZ;Kazakhstan
Sierra Pacific Airlines;\N;;SPA;United States
Springbok Classic Air;\N;;SPB;South Africa
Skyworld Airlines;\N;;SPC;United States
Sprague Electric Company;\N;;SPE;United States
Space World Airline;\N;;SPF;Nigeria
Springdale Air Service;\N;;SPG;United States
Sapphire Executive Air;\N;;SPH;South Africa
South Pacific Island Airways;\N;;SPI;United States
Servicios Corporativos Aereos De La Laguna;\N;;SPL;Mexico
Skorpion Air;\N;;SPN;Bulgaria
Sapphire Aviation;\N;;SPP;United States
Servicios Aereos Palenque;\N;;SPQ;Mexico
Servicios Aereos Tribasa;\N;;TBS;Mexico
Shuttle America;\N;S5;TCF;United States
SAAB Nyge Aero;\N;;TGT;Sweden
Spark Air;\N;;THB;Thailand
S C Ion Tiriac;\N;;TIH;Romania
Starlite Aviation;\N;;TRL;South Africa
Servicios Aereos Corporativos;\N;;TRN;Mauritania
Societe Tout Tranport Mauritanien;\N;;TTM;Mauritania
Servicios Aereos Tamazula;\N;;TZU;Mexico
Shar Ink;\N;;UGP;Russia
Second Sverdlovsk Air Enterprise;\N;;UKU;Russia
Servicios Aereos Universitarios;\N;;UNT;Mexico
Skif-Air;\N;;USK;Ukraine
Smarkand Aero Servise;\N;;USN;Uzbekistan
Samarkand Airways;\N;;UZS;Uzbekistan
Servicios Aereos Avandaro;\N;;VDO;Mexico
Stichting Vliegschool 16Hoven;\N;;VGS;Netherlands
Silverback Cargo Freighters;\N;;VRB;Rwanda
Sirvair;\N;;VRS;Mexico
Scat Air;;DV;VSV;Kazakhstan
Sunset Aviation;\N;;VXN;United States
Sport Air Travel;\N;;WCC;United States
Swift Copters;\N;;WFC;Switzerland
Skyrover CC;\N;;WLK;South Africa
Safarilink Aviation;\N;;XLK;Kenya
SENEAM;\N;;XMX;Mexico
Southport Air Service;\N;;XPG;United States
Spectrum Air Service;\N;;XSA;United States
Stephenville Aviation Services;\N;;XSN;Canada
Servicios Aereos Textra;\N;;XTA;Mexico
Sector Airlines;\N;;XTR;Canada
Skyplan Services;\N;;XXS;Canada
Stewart Aviation Services;\N;;YBE;United States
Sirin;\N;R1;;
Star Air;\N;S6;;Denmark
Servicios Aereos Integrales / Flyant;\N;;FYA;Spain
State Flight Academy of Ukraine;\N;;UFA;Ukraine
Trans Jet Airways;\N;;SWL;Sweden
Turbot Air Cargo;\N;;TAC;Senegal
Tranporte Aereo Dominicano;\N;;TAD;Dominican Republic
TAME;\N;EQ;TAE;Ecuador
Trans International Express Aviation;\N;;BAP;United States
TAG Aviation USA;\N;;TAG;United States
Talair;\N;;TAL;Papua New Guinea
TAM Brazilian Airlines;\N;JJ;TAM;Brazil
Transaustralian Air Express;\N;;AUC;Australia
TAP Portugal;TAP Air Portugal;TP;TAP;Portugal
Tunisair;\N;TU;TAR;Tunisia
Transportes Aereos Tauro;\N;;TAU;Mexico
Travelair;\N;;TAX;Germany
TNT Airways;\N;3V;TAY;Belgium
Transbrasil;\N;;TBA;Brazil
Turbine Air Cargo UK;\N;;TBC;United Kingdom
Thunderbird Tours;\N;;TBD;Canada
Tropical Airways;\N;M7;TBG;Haiti
Trinity Air Bahamas;\N;;TBH;Bahamas
TAB Express International;\N;;TBI;United States
Taban Air Lines;\N;;TBM;Iran
Teebah Airlines;\N;;TBN;Sierra Leone
Tubelair;\N;;TBR;Tunisia
Tobago Express;\N;;TBX;Trinidad and Tobago
Tropican Air Services;\N;;TCA;Egypt
Transporte del Caribe;\N;;TCB;Colombia
Trans Continental Airlines;\N;;TCC;Sudan
Tchad Airlines;\N;;TCD;Chad
Trans-Colorado Airlines;\N;;TCE;United States
Thai Air Cargo;\N;T2;TCG;Thailand
Transcontinental Air;\N;;TCH;Bahrain
Teledyne Continental Motors;\N;;TCM;United States
Trans Continental Airlines;\N;;TCN;United States
Transcorp Airways;\N;;TCP;United Kingdom
Transcontinental Sur;\N;;TCT;Uruguay
Transglobal Airways Corporation;\N;;TCU;Philippines
Thomas Cook Airlines;\N;FQ;TCW;Belgium
Thomas Cook Airlines;\N;MT;TCX;United Kingdom
Twin Cities Air Service;\N;;TCY;United States
Tadair;\N;;TDC;Spain
Tellavia / Flight One;\N;;TDE;United States
Transportes Aereos de Ixtlan;\N;;TDI;Mexico
Tandem Aero;\N;TQ;TDM;Moldova
TRADO;\N;;TDO;Dominican Republic
Trade Air;\N;;TDR;Croatia
Taxi Aero Nacional Del Evora;\N;;TDV;Mexico
Tradewinds Airlines;\N;;TDX;United States
Tenir Airlines;\N;;TEB;Kyrgyzstan
Teamline Air;\N;L9;TLW;Austria
Tecnicas Fotograficas;\N;;TEF;Spain
Tempelhof Airways;\N;;TEH;United States
Telford Aviation;\N;;TEL;United States
Tech-Mont Helicopter Company;\N;;TEM;Slovakia
Tennessee Airways;\N;;TEN;United States
Territorial Airlines;\N;;TER;United States
TAES Transportes Aereos de El Salvador;\N;;TES;El Salvador
Transeuropean Airlines;\N;UE;TEP;Russia
Tepavia-Trans Airlines;\N;;TET;Moldova
Trans-Florida Airlines;\N;;TFA;United States
Tair Airways;\N;;TFB;Philippines
Talon Air;\N;;TFF;United States
Trabajos Aereos Murcianos;\N;;AIM;Spain
Thai Flying Helicopter Service;\N;;TFH;Thailand
Transport Facilitators;\N;;TFI;United States
Transafrik International;\N;;TFK;Sao Tome and Principe
Transportes Aereos del Pacifico;\N;;TFO;Mexico
Thai Flying Service;\N;;TFT;Thailand
Transportes Aereos San Rafael;\N;;SRF;Chile
Tayside Aviation;\N;;TFY;United Kingdom
TG Aviation;\N;;TGC;United Kingdom
Trabajos Aereos;\N;;TGE;Spain
Transportes Aereos Regionales;\N;;TGI;Mexico
TAG Aviation Espana;\N;;TGM;Spain
Trigana Air Service;\N;;TGN;Indonesia
Titan Airways;\N;ZT;AWC;United Kingdom
Transport Canada;\N;;TGO;Canada
Tiger Airways;\N;TR;TGW;Singapore
Tiger Airways Australia;\N;TT;TGW;Australia
Transair Gabon];\N;;TGX;Gabon
Trans Guyana Airways;\N;;TGY;Guyana
Thai Airways International;\N;TG;THA;Thailand
Tar Heel Aviation;\N;;THC;United States
Toumai Air Tchad;\N;;THE;Chad
Touraine Helicoptere;\N;;THF;France
Thai Global Airline;\N;;THG;Thailand
Thai Jet Intergroup;\N;;THJ;Thailand
Turk Hava Kurumu Hava Taksi Isletmesi;\N;;THK;Turkey
Thai AirAsia;Thai Air Asia;FD;AIQ;Thailand
TACA De Honduras;\N;;THO;Honduras
Tehran Airline;\N;;THR;Iran
Thunder Airlines;\N;;THU;Canada
Turkish Airlines;\N;TK;THY;Turkey
Trans Helicoptere Service;\N;;THZ;France
Trans International Airlines;\N;;TIA;United States
Travel International Air Charters;\N;;TIC;Zambia
Time Air;\N;;TIE;Czech Republic
Tic Air;\N;;TIK;Australia
Tajikistan International Airlines;\N;;TIL;Tajikistan
TEAM Transportes Aereos;\N;;TIM;Brazil
Taino Tours;\N;;TIN;Dominican Republic
Tesis;\N;;TIS;Russia
Transcarga Intl Airways;\N;;TIW;Venezuela
Tajikair;\N;;TJK;Tajikistan
Tien-Shan;\N;;TJN;Kazakhstan
Tyrolean Jet Service;\N;;TJS;Austria
Twin Jet;\N;T7;TJT;France
Tikal Jets Airlines;\N;;TKC;Guatemala
Take Air Line;\N;;TKE;France
Tropical International Airways;\N;;TKX;Saint Kitts and Nevis
Thai Sky Airlines;\N;9I;TKY;Thailand
Translift Airways;\N;;TLA;Ireland
Transport Africa;\N;;TLF;Sierra Leone
Trans Atlantic Airlines;\N;;TLL;Sierra Leone
Eagle Canyon Airlines;\N;;TLO;United States
Tulip Air;\N;TD;TLP;Netherland
Tunisavia;\N;;TAJ;Tunisia
TLC Air;\N;;TLS;United States
Turtle Airways;\N;;TLT;Fiji
Travelair;\N;;TLV;Uruguay
Telesis Transair;\N;;TLX;United States
Top-Fly;\N;;TLY;Spain
Trans Mediterranean Airlines;\N;TL;TMA;Lebanon
Transmed Airlines;\N;;TMD;Egypt
Tri-MG Intra Asia Airlines;\N;GY;TMG;Indonesia
Taxis Turisticos Marakame;\N;;TMH;Mexico
Tamir Airways;\N;;TMI;Israel
Tomahawk Airways;\N;;TMK;United States
TAM;\N;;TML;Madagascar
TMC Airlines;\N;;TMM;United States
TRAM;\N;;TMQ;Mauritania
Timberline Air;\N;;TMR;Canada
Temsco Helicopters;\N;;TMS;United States
Trans Midwest Airlines;\N;;TMT;United States
Tramon Air;\N;;TMX;South Africa
Transportes Aereos del Mundo Maya;\N;;TMY;Mexico
Tranporte Amazonair;\N;;TMZ;Venezuela
Trans Air-Benin;\N;;TNB;Benin
Taxis Aereos del Noroeste;\N;;TNE;Mexico
Transafricaine;\N;;TNF;Burkina Faso
Tennessee Air National Guard 164th Airlift Group;\N;;TNG;United States
Transair International Linhas Aereas;\N;;TNI;United States
Tengeriyn Ulaach Shine;\N;;TNL;Mongolia
Tiara Air;\N;3P;TNM;Aruba
Transped Aviation;\N;;TNP;Austria
Tanana Air Services;\N;;TNR;United States
Trans North Turbo Air;\N;;TNT;Canada
Transnorthern;\N;;TNV;United States
Trans Nation Airways;\N;;TNW;Ethiopia
Trener Ltd;\N;;TNX;Hungary
Twin Town Leasing Company;\N;;TNY;United States
Tobruk Air;\N;7T;TOB;Libya
TOJ Airlines;\N;;TOJ;Tajikistan
Tol-Air Services;\N;TI;TOL;United States
Thomsonfly;\N;BY;TOM;United Kingdom
Top Air;\N;;TOP;Turkey
Toronto Airways;\N;;TOR;Canada
Tropic Air;\N;PM;TOS;Belize
Totavia;\N;;TOT;Canada
Tower Air;\N;FF;TOW;United States
Toyota Canada;\N;;TOY;Canada
TAMPA;\N;QT;TPA;Colombia
Top Speed;\N;;TPD;Austria
Taxis Aereos del Pacifico;\N;;TPF;Mexico
Transportes Aereos Pegaso;\N;;TPG;Mexico
TAR Interpilot;\N;;TPL;Mauritania
Transpais Aereo;\N;;TPM;Mexico
Transportacion Aerea del Norte;\N;;TPN;Mexico
Transpac Express;\N;;TPP;Australia
Taxis Aereos De Parral;\N;;TPR;Mexico
TAPSA Transportes Aereos Petroleros;\N;;TPS;Argentina
Transportes Aereo del Sureste;\N;;TPT;Mexico
Trans American Airlines (Trans Am);\N;;TPU;Peru
Thai Pacific Airlines Business;\N;;TPV;Thailand
Transportes Aereos De Xalapa;\N;;TPX;Mexico
Trans-Provincial Airlines;\N;;TPY;Canada
Transportes La Paz;\N;;TPZ;Mexico
Taquan Air Services;\N;;TQN;United States
Transportacion Aerea De Queretaro;\N;;TQR;Mexico
TransAsia Airways;\N;GE;TNA;Taiwan
Transavia Holland;\N;HV;TRA;Netherlands
Trans Air Charter;\N;;TRC;United States
TACV;\N;VR;TCV;Portugal
Trans Island Air;\N;;TRD;Barbados
Taxi Air Fret;\N;;TRF;France
TRAGSA (Medios Aereos);\N;;TRG;Spain
Trans Euro Air;\N;;TRJ;United Kingdom
Transport Aerien de Mauritanie;\N;;TRM;Mauritania
Tropic Airlines-Air Molokai;\N;;TRO;United States
Turdus Airways;\N;;TRQ;Netherland
Tramson Limited;\N;;TRR;Sudan
Trans Arabian Air Transport;\N;;TRT;Sudan
Triangle Airline (Uganda);\N;;TRU;Uganda
Transwestern Airlines of Utah;\N;;TRW;United States
Tristar Airlines;\N;;TRY;United States
TransMeridian Airlines;\N;T9;TRZ;United States
Transair France;\N;;TSA;France
TAF-Linhas Aereas;\N;;TSD;Brazil
Transmile Air Services;\N;TH;TSE;Malaysia
Trans-Air-Congo;\N;;TSG;Republic of the Congo
Transport'air;\N;;TSI;France
Trast Aero;\N;S5;TSJ;Kyrgyzstan
Trast Aero;\N;;TSK;Kyrgyzstan
Thai Aviation Services;\N;;TSL;Thailand
Taftan Airlines;\N;;SBT;Iran
Transwest Air;\N;9T;ABS;Canada
Trans Sayegh Airport Services;\N;;TSM;Lebanon
Trans-Air Services;\N;;TSN;Nigeria
Transaero Airlines;\N;UN;TSO;Russia
Transportes Aereos Inter;\N;;TSP;Guatemala
Trans Service Airlift;\N;;TSR;Democratic Republic of Congo
Tri-State Aero;\N;;TSS;United States
TRAST;\N;;TST;Kazakhstan
Tropair Airservices;\N;;TSV;United Kingdom
Transwings;\N;;TSW;Switzerland
Thai Star Airlines;\N;T9;TSX;Thailand
Tristar Air;\N;;TSY;Egypt
TTA - Sociedade de Transporte e Trabalho Aereo;\N;;TTA;Mozambique
Transteco;\N;;TTC;Angola
Tarhan Tower Airlines;\N;;TTH;Turkey
Total Linhas Aereas;\N;;TTL;Brazil
Triple O Aviation;\N;;TTP;Nigeria
Transportaciones Y Servicios Aereos;\N;;TTR;Mexico
Transporte Aereo Tecnico Ejecutivo;\N;;TTS;Mexico
Turkmenistan Airlines;Turkmenhovayollary;T5;TUA;Turkmenistan
Turismo Aereo de Chile;\N;;TUC;Chile
Tuninter;\N;UG;TUI;Tunisia
Tulpar Air;\N;;TUL;Russia
Tyumenspecavia;\N;;TUM;Russia
Taxi Aereo Turistico;\N;;TUO;Mexico
Tulpar Air Service;\N;;TUX;Kazakhstan
Tuna Aero;\N;;TUZ;Sweden
Trans America Airlines;\N;;TVA;United States
Trabajos Aereos Vascongados;\N;;TVH;Spain
Tiramavia;\N;;TVI;Moldova
Travel Service;\N;;TVL;Hungary
Transavio;\N;;TVO;Italy
Tavrey Airlines;\N;T6;TVR;Ukraine
Travel Service;\N;QS;TVS;Czech Republic
Trans World Airlines;TWA;TW;TWA;United States
Transwede Airways;\N;;TWE;Sweden
Twinjet Aircraft Sales;\N;;TWJ;United Kingdom
Tradewinds Aviation;\N;;TWL;Canada
Transairways;\N;;TWM;Mozambique
Twente Airlines;\N;;TWO;Netherlands
Trans Air Welwitchia;\N;;TWW;Angola
Texair Charter;\N;;TXA;United States
Transaviaexport;\N;AL;TXC;Belarus
Transilvania Express;\N;;TXE;Romania
Taxi Aereo Cozatl;\N;;TXL;Mexico
Taxi Aereo de Mexico;\N;;TXM;Mexico
Texas National Airlines;\N;;TXN;United States
Taxis Aereos de Sinaloa;\N;;TXO;Mexico
Taxirey;\N;;TXR;Mexico
Texas Airlines;\N;;TXS;United States
Texas Air Charters;\N;;TXT;United States
Tex Star Air Freight;\N;;TXZ;United States
Tayflite;\N;;TYF;United Kingdom
Trygg-Flyg;\N;;TYG;Sweden
Tyrol Air Ambulance;\N;;TYW;Austria
Transporte Aereo Ernesto Saenz;\N;;TZE;Mexico
Tajikstan;\N;;TZK;Tajikistan
Thyssen Krupp AG;\N;;BLI;Germany
TUIfly Nordic;\N;6B;BLX;Sweden
Transportes Aereos Bolivianos;\N;;BOL;Bolivia
Tiphook PLC;\N;;BOX;United Kingdom
Top Flight Air Service;\N;;CHE;United States
Trans America;\N;;CLR;United States
Triple Alpha;\N;;CLU;Germany
Tashkent Aircraft Production Corporation;\N;;CTP;Uzbekistan
Texas Airways;\N;;CWT;United States
Transportes Aereos Don Carlos;\N;;DCL;Chile
Telnic Limited;\N;;DOT;United Kingdom
Triton Airlines;\N;;DRC;Canada
TAAG Angola Airlines;\N;DT;DTA;Angola
Tassili Airlines;\N;SF;DTH;Algeria
Transporte Ejecutivo Aereo;\N;;EAR;Mexico
Transportes Aereos Nacionales De Selva Tans;\N;;ELV;Peru
TAG Farnborough Airport;\N;;FBO;United Kingdom
Transaviaservice;\N;;FNV;Georgia
TAG Aviation;\N;;FPG;Switzerland
The 955 Preservation Group;\N;;GFN;United Kingdom
Trans-Air-Link;\N;;GJB;United States
Tradewind Aviation;\N;;GPD;United States
Trail Lake Flying Service;\N;;HBA;United States
TAF Helicopters;\N;;HET;Spain
Tango Bravo;\N;;HTO;France
Turkish Air Force;\N;;HVK;Turkey
Thryluthjonustan;\N;;IHS;Iceland
TA-Air Airline;\N;;IRF;Iran
Tara Air Line;\N;;IRR;Iran
Trading Air Cargo;\N;;JCH;Mauritania
Trans-Kiev;\N;;KCA;Ukraine
Tal Air Charters;\N;;JEL;Canada
Transcontinental Airlines;\N;;KRA;Kazakhstan
Transaviabaltika;\N;;KTB;Lithuania
Transair-Gyraintiee;\N;;KTS;Russia
TAM Mercosur;\N;PZ;LAP;Paraguay
The Lancair Company;\N;;LCC;United States
The Army Aviation Heritage Foundation;\N;;LEG;United States
Top Sky International;\N;;LKW;Indonesia
Trans States Airlines;\N;AX;LOF;United States
Trans Atlantis;\N;;LTA;Canada
Transportacion Aerea Del Mar De Cortes;\N;;MCT;Mexico
Transporte Aero MGM;\N;;MGM;Mexico
Tigerfly;\N;;MOH;United Kingdom
Transportes Aereos Amparo;\N;;MPO;Mexico
Trans Air;\N;;MUI;United States
Transportes Aereos Mexiquenses;\N;;MXQ;Mexico
Travelsky Technology;\N;1E;;China
Thalys;\N;2H;;Belgium
TNT International Aviation;\N;;NTR;United Kingdom
Open Skies Consultative Commission;\N;1L;OSY;United States
Trans-Pacific Orient Airways;\N;;PCW;Philippines
Tauranga Aer Club;\N;;PGS;New Zealand
TSSKB-Progress;\N;;PSS;Russia
Trans World Express;\N;;RBD;United States
Trans Reco;\N;;REC;Mauritania
Tas Aviation;\N;;RMS;United States
Tarom;\N;RO;ROT;Romania
Transportes Aereos I.R. Crusoe;\N;;ROU;Chile
Transportes Aereos Sierra;\N;;RRT;Mexico
Tbilisi Aviation University;\N;;RRY;Georgia
Trans Am Compania;\N;;RTM;Ecuador
Trans Sahara Air;\N;;SBJ;Nigeria
Transportes Aereos Sierra Madre;\N;;SEI;Mexico
Trans Asian Airlines;\N;;SRT;Kazakhstan
Turan Air;\N;3T;URN;Azerbaijan
TRIP Linhas A;\N;8R;TIB;Brazil
Tusheti;\N;;USB;Georgia
TAPC Aviatrans Aircompany;\N;;UTM;Uzbekistan
Trans-Ulgii;\N;;UTN;Mongolia
Transarabian Transportation Services;\N;;UTT;Uganda
Transaven;\N;;VEN;Venezuela
Tag Aviation UK;\N;;VIP;United Kingdom
Tbilaviamsheni;\N;;VNZ;Georgia
Taxi de Veracruz;\N;;VRC;Mexico
Travel Express Aviation Services;\N;;XAR;Indonesia
Taxi Aero Del Norte;\N;;XNR;Mexico
Transports et Travaux A;\N;OF;;
USAF Air Mobility Operations Control Center;\N;;DOD;United States
U.S. Department of the Interior;\N;;DOI;United States
United Kingdom Civil Aviation Authority;\N;;EXM;United Kingdom
Union des Transports Africains de Guinee;\N;;GIH;Guinea
US Army Parachute Team;\N;;GKA;United States
USA3000 Airlines;\N;U5;GWY;United States
United Arabian Airlines;\N;;UAB;Sudan
United Airlines;\N;UA;UAL;United States
United Air Charters;\N;;UAC;Zimbabwe
United Carriers Systems;\N;;UCS;United States
United Eagle Airlines;\N;;UEA;China
United Feeder Service;\N;U2;;United States
United Kingdom Civil Aviation Authority;\N;;CFU;United Kingdom
United Kingdom Royal VIP Flights;\N;;KRF;United Kingdom
United Kingdom Royal VIP Flight;\N;;KRH;United Kingdom
United Kingdom Civil Aviation Authority;\N;;SDS;United Kingdom
United Kingdom Royal VIP Flights;\N;;TQF;United Kingdom
United States Coast Guard Auxiliary;\N;;CGX;United States
United States Department Of Agriculture;\N;;AGR;United States
University Air Squadron;\N;;UAD;United Kingdom
University Air Squadron;\N;;UAJ;United Kingdom
University Air Squadron;\N;;UAA;United Kingdom
University Air Squadron;\N;;UAH;United Kingdom
Universal Avia;\N;;HBU;Ukraine
UK HEMS;\N;;HLE;United Kingdom
USA Jet Airlines;\N;U7;JUS;United States
Unijet;\N;;LEA;France
US Marshals Service;\N;;MSH;United States
University of North Dakota;\N;;NDU;United States
Universal Airlines;\N;;PNA;United States
Uganda Royal Airways;\N;;RAU;Uganda
United Aviation Services;\N;;SAU;Spain
Ural Airlines;\N;U6;SVR;Russia
Ukraine Transavia;\N;;TRB;Ukraine
United Arab Emirates Air Force;\N;;UAF;United Arab Emirates
Union Africaine des Transports;\N;;UAI;Ivory Coast
Uganda Air Cargo;\N;;UCC;Uganda
US Airports Air Charter;\N;;UCH;United States
Ucoaviacion;\N;;UCO;Spain
Ues-Avia Aircompany;\N;;UES;Ukraine
UFS;\N;;UFS;United States
Uganda Airlines;\N;;UGA;Uganda
Urgemer Canarias;\N;;UGC;Spain
Ukrainian Helicopters;\N;;UHL;Ukraine
Ulyanovsk Higher Civil Aviation School;\N;;UHS;Russia
Universal Jet Rental de Mexico;\N;;UJR;Mexico
Universal Jet Aviation;\N;;UJT;United States
UK International Airlines;\N;;UKI;United Kingdom
Ukraine Air Alliance;\N;;UKL;Ukraine
UM Airlines;\N;UF;UKM;Ukraine
Ukraine Air Enterprise;\N;;UKN;Ukraine
United Kingdom Home Office;\N;;UKP;United Kingdom
Ukrainian Cargo Airways;\N;6Z;UKS;Ukraine
Ultrair;\N;;ULT;United States
Unitemp-M;\N;;UMS;Russia
Uni-Fly;\N;;UNC;Denmark
Union Flights;\N;;UNF;United States
Universal Jet;\N;;UNJ;Spain
Unsped Paket Servisi;\N;;UNS;Turkey
Unifly Servizi Aerei;\N;;UNU;Italy
Ukrainian Pilot School;\N;;UPL;Ukraine
United Parcel Service;\N;5X;UPS;United States
Uraiavia;\N;;URV;Russia
US Airways;\N;US;USA;United States
US Check Airlines;\N;;USC;United States
USAfrica Airways;\N;;USF;United States
US Helicopter;\N;;USH;United States
US Jet;\N;;USJ;United States
US Express;\N;;USX;United States
UTair Aviation;\N;UT;UTA;Russia
UTAGE;\N;;UTG;Equatorial Guinea
Utair South Africa;\N;;UTR;South Africa
Ukrainian State Air Traffic Service Enterprise;\N;;UTS;Ukraine
Urartu-Air;\N;;UTU;Armenia
Universal Airways;\N;;UVA;United States
Universal Airlines;\N;;UVG;Guyana
Uvavemex;\N;;UVM;Mexico
United States Air Force;\N;;AIO;United States
United Aviation;\N;;UVN;Kuwait
Uzbekistan Airways;\N;HY;UZB;Uzbekistan
Ukraine International Airlines;\N;PS;AUI;Ukraine
Universal Airlines;\N;;WEC;United States
US Helicopter Corporation;\N;UH;;United States
V Australia Airlines;\N;VA;VAU;Australia
V Bird Airlines Netherlands;\N;;VBA;Netherlands
V-avia Airline;\N;;WIW;Ukraine
V-Berd-Avia;\N;;VBD;Armenia
Vacationair;\N;;VAC;Canada
Valair AG (Helicoptere);\N;;RDW;Switzerland
Valan International Cargo Charter;\N;;VLA;South Africa
Valan Limited;\N;;VLN;Moldova
Valfell-Verkflug;\N;;EHR;Iceland
Valuair;\N;VF;VLU;Singapore
Van Air Europe;\N;;VAA;Czech Republic
Vanguardia en Aviacion en Colima;\N;;VGC;Mexico
Vanguard Airlines;\N;;VGD;United States
Vasco Air;\N;;VFC;Vietnam
Vega;\N;;VAG;Kazakhstan
Vega Air Company;\N;;WGA;Ukraine
Veles;\N;;WEL;VELES
Verataxis;\N;;VTX;Mexico
Veritair Ltd;\N;;BTP;United Kingdom
Voyageur Airways;\N;VC;VAL;Canada
Vernicos Aviation;\N;;GRV;Greece
Vietnam Airlines;\N;VN;HVN;Vietnam
Vozdushnaya Academy;\N;;KWA;Kazakhstan
VIM Airlines;\N;NN;MOV;Russia
VIM-Aviaservice;\N;;MVY;Russia
VIA Rail Canada;\N;2R;;Canada
Victoria Aviation;\N;;ENV;United Kingdom
Viscount Air Service;\N;;VCT;United States
Vision Airlines;\N;;SSI;Nigeria
VIP Air Charter;\N;;FXF;United States
VIP Avia;\N;;PAV;Kazakhstan
VIP Avia;\N;;PRX;Latvia
Visionair;\N;;VAT;Ireland
Viasa;\N;VA;;Venezuela
VICA - Viacao Charter Aereos;\N;;VCA;Brazil
Volare Air Charter Company;\N;;VCM;United States
Volaris;\N;Y4;VOI;Mexico
Volga-Dnepr Airlines;\N;VI;VDA;Russia
Vega Airlines;\N;;VEA;Bulgaria
Venescar Internacional;\N;;VEC;Venezuela
Victor Echo;\N;;VEE;Spain
Virgin Express Ireland;\N;;VEI;Ireland
Virgin America;\N;VX;VRD;United States
Vieques Air Link;\N;;VES;United States
Virgin Express;\N;TV;VEX;Belgium
VZ Flights;\N;;VFT;Mexico
Virgin Nigeria Airways;\N;VK;VGN;Nigeria
Vologda State Air Enterprise;\N;;VGV;Russia
VH-Air Industrie;\N;;VHA;Angola
VHM Schul-und-Charterflug;\N;;VHM;Germany
Vibroair Flugservice;\N;;VIB;Germany
VIP Servicios Aereos Ejecutivos;\N;;VIC;Mexico
VIP Empresarial;\N;;VIE;Mexico
VIF Luftahrt;\N;;VIF;Austria
Vega Aviation;\N;;VIG;Sudan
Vichi;\N;;VIH;Moldova
Viking Airlines;\N;;VIK;Sweden
Vinair - Helicoptereos;\N;;VIN;Portugal
Virgin Atlantic Airways;\N;VS;VIR;United Kingdom
Viajes Ejecutivos Mexicanos;\N;;VJM;Mexico
Vistajet;\N;;VJT;Canada
Viva Macau;\N;ZG;VVM;Macao
Volare Airlines;\N;VE;VLE;Italy
Vueling Airlines;\N;VY;VLG;Spain
Vladivostok Air;\N;XF;VLK;Russia
Varig Log;\N;LC;VLO;Brazil
Vertical-T Air Company;\N;;VLT;Russia
Vero Monmouth Airlines;\N;;VMA;United States
Vipport Joint Stock Company;\N;;VNK;Russia
Viaggio Air;\N;VM;VOA;Bulgaria
Voyager Airlines;\N;;VOG;Bangladesh
Virgin Australia;\N;VA;VOZ;Australia
Virgin Blue;\N;DJ;VBI;Australia
VIP Air;\N;;VPA;Slovakia
Veteran Air;\N;;VPB;Ukraine
VIP-Avia;\N;;VPV;Georgia
Vertair;\N;;VRA;United Kingdom
Volare Airlines;\N;;VRE;Ukraine
Voar Lda;\N;;VRL;Angola
VRG Linhas Aereas;Varig;RG;VRN;Brazil
Vickers Limited;\N;;VSB;United Kingdom
Visig Operaciones Aereas;\N;;VSG;Spain
Vision Airways Corporation;\N;;VSN;Canada
Voronezh Aircraft Manufacturing Society;\N;;VSO;Russia
VASP;\N;VP;VSP;Brazil
Virign Islands Seaplane Shuttle;\N;;VSS;United States
Vuelos Especializados Tollocan;\N;;VTC;Mexico
Vuelos Corporativos de Tehuacan;\N;;VTH;Mexico
Vostok Airlines;\N;;VTK;Russia
Victor Tagle Larrain;\N;;VTL;Chile
Vointeh;\N;;VTV;Bulgaria
Vuelos Internos Privados VIP;\N;;VUR;Ecuador
Vuela Bus;\N;;VUS;Mexico
Vzlyet;\N;;VZL;Russia
VLM Airlines;\N;VG;VLM;Belgium
Viking Express;\N;;WCY;United States
Victoria International Airways;\N;;WEV;Uganda
Volga Aviaexpress;\N;;WLG;Russia
WDL Aviation;\N;;WDL;Germany
WRA Inc;\N;;WRR;United States
WSI Corporation;\N;;XWS;United States
Walmart Aviation;\N;;CGG;United States
Walsten Air Services;\N;;WAS;Canada
Walter I Linkoping;\N;;GOT;Sweden
Wapiti Aviation;\N;;WPT;Canada
Warbelow's Air Ventures;\N;;WAV;United States
Warwickshire Aerocentre Ltd.;\N;;ATX;United Kingdom
Wasaya Airways;\N;;WSG;Canada
Wayraper;\N;7W;;Peru
Weasua Air Transport Company;\N;;WTC;Liberia
WebJet Linhas A;\N;WJ;WEB;Brazil
Welch Aviation;\N;;TDB;United States
Welcome Air;\N;2W;WLC;Austria
Wermlandsflyg AB;\N;;BLW;Sweden
